KIT ID Number,Borough,Zipcode,Date Collected,Received Date,First Draw at-the-tap Lead level (µg/l),First Draw at-the-tap copper level (mg/l)
20170074,STATEN ISLAND,10306,07/03/2020,07/09/2020,2,0.08
20169726,QUEENS,11354,07/04/2020,07/09/2020,4,0.123
20169725,QUEENS,11385,07/05/2020,07/09/2020,14,0.15
20169940,BRONX,10471,07/05/2020,07/09/2020,7,0.122
20169689,STATEN ISLAND,10314,07/07/2020,07/13/2020,4,0.115
20170111,BROOKLYN,11228,07/07/2020,07/09/2020,61,0.147
20169893,BROOKLYN,11204,07/08/2020,07/13/2020,7,0.131
20170119,STATEN ISLAND,10306,07/08/2020,07/13/2020,0,0.169
20169777,QUEENS,11358,07/08/2020,07/13/2020,6,0.056
20169899,BROOKLYN,11210,07/08/2020,07/17/2020,26,0.304
20169902,BROOKLYN,11218,07/09/2020,07/20/2020,3,0.115
20169882,QUEENS,11434,07/10/2020,07/22/2020,5,0.034
20169913,QUEENS,11418,07/11/2020,07/16/2020,0,0.162
20170099,QUEENS,11358,07/12/2020,07/15/2020,8,0.075
20169946,BROOKLYN,11230,07/13/2020,07/15/2020,2,0.167
20169711,BROOKLYN,11232,07/13/2020,07/22/2020,11,0.103
20170140,BROOKLYN,11228,07/13/2020,07/16/2020,3,0.126
20169992,STATEN ISLAND,10309,07/14/2020,07/17/2020,0,0.086
20170058,QUEENS,11358,07/14/2020,07/16/2020,103,0.168
20170050,BROOKLYN,11209,07/16/2020,07/20/2020,39,0.137
20169701,STATEN ISLAND,10308,07/17/2020,07/21/2020,0,0.101
20169753,BRONX,10463,07/18/2020,07/22/2020,1,0.129
20169944,BROOKLYN,11226,07/19/2020,07/24/2020,9,0.159
20169949,QUEENS,11106,07/20/2020,07/24/2020,5,0.109
20170162,QUEENS,11358,07/20/2020,07/24/2020,1,0.137
20169707,BRONX,10461,07/22/2020,07/30/2020,5,0.128
20169950,QUEENS,11103,07/22/2020,07/24/2020,6,0.16
20169721,QUEENS,11415,07/25/2020,07/30/2020,2,0.209
20169843,BRONX,10463,07/26/2020,08/05/2020,2,0.099
20169821,QUEENS,11375,07/26/2020,07/30/2020,71,0.147
20170052,QUEENS,11372,07/27/2020,07/30/2020,7,0.214
20169836,BROOKLYN,11238,07/28/2020,08/06/2020,3,0.215
20171119,STATEN ISLAND,10308,07/28/2020,07/30/2020,0,0.157
20170148,QUEENS,11378,07/29/2020,08/05/2020,0,0.22
20169808,BROOKLYN,11206,07/30/2020,08/05/2020,7,0.28
20169833,STATEN ISLAND,10314,07/31/2020,08/05/2020,0,0.197
20169892,QUEENS,11375,08/01/2020,08/05/2020,3,0.15
20170161,QUEENS,11361,08/03/2020,08/05/2020,3,0.039
20170044,BROOKLYN,11207,08/03/2020,08/05/2020,5,0.156
20169844,BROOKLYN,11217,08/04/2020,08/11/2020,2,0.208
20169759,BROOKLYN,11217,08/04/2020,08/18/2020,0,0.133
20169889,STATEN ISLAND,10308,08/05/2020,08/11/2020,0,0.079
20169705,BRONX,10462,08/05/2020,08/11/2020,3,0.2
20169995,BRONX,10460,08/06/2020,08/14/2020,4,0.018
20169998,BROOKLYN,11216,08/07/2020,08/11/2020,4,0.268
20169909,QUEENS,11358,08/08/2020,08/14/2020,36,0.178
20169832,STATEN ISLAND,10314,08/09/2020,08/20/2020,0,0.091
20170073,STATEN ISLAND,10314,08/10/2020,08/14/2020,0,0.151
20170151,QUEENS,11368,08/10/2020,08/14/2020,3,0.038
20169846,BROOKLYN,11217,08/10/2020,08/14/2020,3,0.198
20170045,BROOKLYN,11207,08/11/2020,08/18/2020,0,0.081
20169770,BROOKLYN,11214,08/14/2020,08/18/2020,2,0.128
20169957,QUEENS,11358,08/15/2020,08/18/2020,1,0.173
20169793,STATEN ISLAND,10312,08/18/2020,08/24/2020,0,0.077
20169866,QUEENS,11415,08/19/2020,09/02/2020,3,0.088
20169715,QUEENS,11101,08/19/2020,08/24/2020,7,0.166
20170145,BROOKLYN,11228,08/21/2020,08/24/2020,7,0.158
20169728,QUEENS,11360,08/22/2020,08/26/2020,3,0.073
20169827,BROOKLYN,11212,08/23/2020,08/26/2020,0,0.104
20170101,QUEENS,11377,08/23/2020,09/02/2020,8,0.146
20169761,BROOKLYN,11204,08/26/2020,09/02/2020,0,0.076
20170032,STATEN ISLAND,10312,08/28/2020,09/02/2020,0,0.122
20169890,BROOKLYN,11222,08/28/2020,09/08/2020,0,0.234
20169991,STATEN ISLAND,10309,08/29/2020,09/02/2020,2,0.137
20170068,QUEENS,11415,08/29/2020,09/08/2020,17,0.246
20169952,QUEENS,11357,09/01/2020,09/08/2020,6,0.191
